year,prefecture,url,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8
2025,三重県,https://www.hb-nippon.com/tournaments/850,三重,6 - 5,7 - 0,津田学園,11 - 4,8 - 3,四日市,津商
2025,京都府,https://www.hb-nippon.com/tournaments/833,龍谷大平安,2 - 1,乙訓,7 - 0,9 - 2,11 - 2,京都文教,6 - 3
2025,佐賀県,https://www.hb-nippon.com/tournaments/947,唐津商,5 - 4,5 - 2,龍谷,3 - 2,佐賀北,2 - 1,神埼
2025,兵庫県,https://www.hb-nippon.com/tournaments/945,神戸国際大付,4 - 0,市尼崎,5 - 1,2 - 1,東洋大姫路,5 - 2,5 - 0
2025,北海道,https://www.hb-nippon.com/tournaments/1046,北照,2 - 0,7 - 0,白樺学園,8 - 1,旭川実,9 - 8,3 - 2
2025,千葉県,https://www.hb-nippon.com/tournaments/958,専大松戸,6 - 1,中央学院,7 - 0,11 - 0,10 - 2,木更津総合,5 - 4
2025,和歌山県,https://www.hb-nippon.com/tournaments/986,近大新宮,3 - 2,市和歌山,3 - 1,11 - 4,日高中津,4 - 0,9 - 4
2025,埼玉県,https://www.hb-nippon.com/tournaments/983,花咲徳栄,3 - 2,9 - 3,浦和学院,4 - 3,4 - 1,浦和麗明,6 - 3
2025,大分県,https://www.hb-nippon.com/tournaments/956,明豊,9 - 6,9 - 3,杵築,7 - 3,大分商,10 - 3,津久見
2025,大阪府,https://www.hb-nippon.com/tournaments/999,大阪桐蔭,9 - 8,2 - 0,近大付,6 - 4,6 - 2,金光大阪,3 - 1
2025,奈良県,https://www.hb-nippon.com/tournaments/834,智弁学園,4 - 3,天理,7 - 5,9 - 0,3 - 1,橿原学院,12 - 1
2025,宮城県,https://www.hb-nippon.com/tournaments/944,仙台育英,2 - 1,東北,5 - 3,11 - 1,気仙沼,7 - 3,7 - 0
2025,宮崎県,https://www.hb-nippon.com/tournaments/918,小林西,4 - 1,5 - 2,宮崎学園,1 - 0,宮崎日大,9 - 8,6 - 4
2025,富山県,https://www.hb-nippon.com/tournaments/872,富山商,6 - 1,4 - 3,高岡第一,6 - 2,氷見,4 - 2,2 - 1
2025,山口県,https://www.hb-nippon.com/tournaments/998,下関国際,5 - 3,桜ケ丘,7 - 6,11 - 1,7 - 0,山口県鴻城,3 - 2
2025,山形県,https://www.hb-nippon.com/tournaments/943,日大山形,7 - 0,東海大山形,8 - 4,4 - 3,鶴岡東,山形中央,10 - 0
2025,山梨県,https://www.hb-nippon.com/tournaments/852,山梨学院,6 - 2,9 - 2,甲府工,2 - 1,駿台甲府,日本航空,10 - 2
2025,岐阜県,https://www.hb-nippon.com/tournaments/911,大垣日大,9 - 2,中京,1 - 0,11 - 4,8 - 0,関商工,7 - 1
2025,岡山県,https://www.hb-nippon.com/tournaments/982,倉敷商,4 - 2,玉島商,8 - 1,12 - 5,4 - 1,関西,3 - 2
2025,岩手県,https://www.hb-nippon.com/tournaments/965,花巻東,11 - 3,一関学院,10 - 0,9 - 0,一関一,3 - 1,9 - 1
2025,島根県,https://www.hb-nippon.com/tournaments/978,島根中央,2 - 0,石見智翠館,5 - 2,7 - 2,11 - 2,矢上,3 - 2
2025,広島県,https://www.hb-nippon.com/tournaments/980,広陵,5 - 4,崇徳,6 - 4,3 - 0,広島商,6 - 3,8 - 5
2025,徳島県,https://www.hb-nippon.com/tournaments/933,阿南光,5 - 3,7 - 1,徳島商,4 - 0,4 - 1,2 - 1,海部
